ZIP Code,% Within City,Consumption,Month,Year
30324,0.75789451844754385,2441,Sep,2013
30326,1.0000000000002311,441371,Sep,2013
30327,0.62064230944238463,77643,Sep,2013
30331,0.53041280423651627,39927,Sep,2013
30336,6.8981224960983828E-2,101141,Sep,2013
30303,1.0000000000002018,21619,Oct,2013
30305,1.0000000000000955,112231,Oct,2013
30306,0.73382073673994308,453827,Oct,2013
30307,0.63471897963204738,20066,Oct,2013
30308,0.99999999999972766,101434,Oct,2013
30309,1.0000000000029903,218233,Oct,2013
30310,0.99981447315587935,187103,Oct,2013
30311,0.98968586472132614,69865,Oct,2013
30312,1.0000000000001916,66341,Oct,2013
30313,0.99999999999862021,237297,Oct,2013
30314,0.99999999999993427,258283,Oct,2013
30315,0.9538606552735116,743616,Oct,2013
30316,0.28779358110687492,393234,Oct,2013
30317,0.85062336970878982,706105,Oct,2013
30318,0.99893940528767255,321149,Oct,2013
30319,0.1115094949667999,298572,Oct,2013
30324,0.75789451844754385,9550,Oct,2013
30326,1.0000000000002311,441761,Oct,2013
30327,0.62064230944238463,106645,Oct,2013
30331,0.53041280423651627,48525,Oct,2013
30336,6.8981224960983828E-2,107758,Oct,2013
30303,1.0000000000002018,46797,Nov,2013
30305,1.0000000000000955,117704,Nov,2013
30306,0.73382073673994308,786238,Nov,2013
30307,0.63471897963204738,33998,Nov,2013
30308,0.99999999999972766,119785,Nov,2013
30309,1.0000000000029903,267264,Nov,2013
30310,0.99981447315587935,158265,Nov,2013
30311,0.98968586472132614,87841,Nov,2013
30312,1.0000000000001916,218297,Nov,2013
30313,0.99999999999862021,274767,Nov,2013
30314,0.99999999999993427,277033,Nov,2013
30315,0.9538606552735116,786421,Nov,2013
30316,0.28779358110687492,702283,Nov,2013
30317,0.85062336970878982,924055,Nov,2013
30318,0.99893940528767255,298055,Nov,2013
30319,0.1115094949667999,428296,Nov,2013
30324,0.75789451844754385,55671,Nov,2013
30326,1.0000000000002311,394372,Nov,2013
30327,0.62064230944238463,119600,Nov,2013
30331,0.53041280423651627,81750,Nov,2013
30336,6.8981224960983828E-2,103012,Nov,2013
30303,1.0000000000002018,54854,Dec,2013
30305,1.0000000000000955,127998,Dec,2013
30306,0.73382073673994308,905049,Dec,2013
30307,0.63471897963204738,41183,Dec,2013
30308,0.99999999999972766,133819,Dec,2013
30309,1.0000000000029903,296476,Dec,2013
30310,0.99981447315587935,154660,Dec,2013
30311,0.98968586472132614,109179,Dec,2013
30312,1.0000000000001916,266111,Dec,2013
30313,0.99999999999862021,259859,Dec,2013
30314,0.99999999999993427,283543,Dec,2013
30315,0.9538606552735116,877843,Dec,2013
30316,0.28779358110687492,837173,Dec,2013
30317,0.85062336970878982,993791,Dec,2013
30318,0.99893940528767255,129821,Dec,2013
30319,0.1115094949667999,505383,Dec,2013
30324,0.75789451844754385,76941,Dec,2013
30326,1.0000000000002311,428346,Dec,2013
30327,0.62064230944238463,123097,Dec,2013
30331,0.53041280423651627,96328,Dec,2013
30336,6.8981224960983828E-2,128210,Dec,2013
